,rating,ana_timePlayed,ana_defensiveAssistsAvgPer10Min,ana_offensiveAssistsAvgPer10Min,ana_barrierDamageDoneAvgPer10Min,ana_criticalHitsAvgPer10Min,ana_deathsAvgPer10Min,ana_eliminationsAvgPer10Min,ana_finalBlowsAvgPer10Min,ana_healingDoneAvgPer10Min,ana_heroDamageDoneAvgPer10Min,ana_objectiveKillsAvgPer10Min,ana_objectiveTimeAvgPer10Min,ana_soloKillsAvgPer10Min,ana_timeSpentOnFireAvgPer10Min,ana_weaponAccuracy,ana_enemiesSleptAvgPer10Min,ana_nanoBoostAssistsAvgPer10Min,ana_scopedAccuracy,ana_selfHealingAvgPer10Min,ana_unscopedAccuracy,baptiste_timePlayed,baptiste_defensiveAssistsAvgPer10Min,baptiste_offensiveAssistsAvgPer10Min,baptiste_barrierDamageDoneAvgPer10Min,baptiste_criticalHitsAvgPer10Min,baptiste_deathsAvgPer10Min,baptiste_eliminationsAvgPer10Min,baptiste_finalBlowsAvgPer10Min,baptiste_healingDoneAvgPer10Min,baptiste_heroDamageDoneAvgPer10Min,baptiste_objectiveKillsAvgPer10Min,baptiste_objectiveTimeAvgPer10Min,baptiste_soloKillsAvgPer10Min,baptiste_timeSpentOnFireAvgPer10Min,baptiste_weaponAccuracy,baptiste_amplificationMatrixAssistsAvgPer10Min,baptiste_healingAccuracy,baptiste_immortalityFieldDeathsPreventedAvgPer10Min,baptiste_selfHealingAvgPer10Min,brigitte_timePlayed,brigitte_defensiveAssistsAvgPer10Min,brigitte_offensiveAssistsAvgPer10Min,brigitte_barrierDamageDoneAvgPer10Min,brigitte_criticalHitsAvgPer10Min,brigitte_deathsAvgPer10Min,brigitte_eliminationsAvgPer10Min,brigitte_finalBlowsAvgPer10Min,brigitte_healingDoneAvgPer10Min,brigitte_heroDamageDoneAvgPer10Min,brigitte_objectiveKillsAvgPer10Min,brigitte_objectiveTimeAvgPer10Min,brigitte_soloKillsAvgPer10Min,brigitte_timeSpentOnFireAvgPer10Min,brigitte_weaponAccuracy,brigitte_armorProvidedAvgPer10Min,brigitte_damageBlockedAvgPer10Min,brigitte_inspireUptimePercentage,lucio_timePlayed,lucio_defensiveAssistsAvgPer10Min,lucio_offensiveAssistsAvgPer10Min,lucio_barrierDamageDoneAvgPer10Min,lucio_criticalHitsAvgPer10Min,lucio_deathsAvgPer10Min,lucio_eliminationsAvgPer10Min,lucio_finalBlowsAvgPer10Min,lucio_healingDoneAvgPer10Min,lucio_heroDamageDoneAvgPer10Min,lucio_objectiveKillsAvgPer10Min,lucio_objectiveTimeAvgPer10Min,lucio_soloKillsAvgPer10Min,lucio_timeSpentOnFireAvgPer10Min,lucio_weaponAccuracy,lucio_soundBarriersProvidedAvgPer10Min,lucio_selfHealingAvgPer10Min,mercy_timePlayed,mercy_defensiveAssistsAvgPer10Min,mercy_offensiveAssistsAvgPer10Min,mercy_barrierDamageDoneAvgPer10Min,mercy_criticalHitsAvgPer10Min,mercy_deathsAvgPer10Min,mercy_eliminationsAvgPer10Min,mercy_finalBlowsAvgPer10Min,mercy_healingDoneAvgPer10Min,mercy_heroDamageDoneAvgPer10Min,mercy_objectiveKillsAvgPer10Min,mercy_objectiveTimeAvgPer10Min,mercy_soloKillsAvgPer10Min,mercy_timeSpentOnFireAvgPer10Min,mercy_weaponAccuracy,mercy_damageAmplifiedAvgPer10Min,mercy_playersResurrectedAvgPer10Min,moira_timePlayed,moira_defensiveAssistsAvgPer10Min,moira_offensiveAssistsAvgPer10Min,moira_barrierDamageDoneAvgPer10Min,moira_criticalHitsAvgPer10Min,moira_deathsAvgPer10Min,moira_eliminationsAvgPer10Min,moira_finalBlowsAvgPer10Min,moira_healingDoneAvgPer10Min,moira_heroDamageDoneAvgPer10Min,moira_objectiveKillsAvgPer10Min,moira_objectiveTimeAvgPer10Min,moira_soloKillsAvgPer10Min,moira_timeSpentOnFireAvgPer10Min,moira_weaponAccuracy,moira_coalescenceHealingAvgPer10Min,moira_coalescenceKillsAvgPer10Min,moira_secondaryFireAccuracy,moira_selfHealingAvgPer10Min,zenyatta_timePlayed,zenyatta_defensiveAssistsAvgPer10Min,zenyatta_offensiveAssistsAvgPer10Min,zenyatta_barrierDamageDoneAvgPer10Min,zenyatta_criticalHitsAvgPer10Min,zenyatta_deathsAvgPer10Min,zenyatta_eliminationsAvgPer10Min,zenyatta_finalBlowsAvgPer10Min,zenyatta_healingDoneAvgPer10Min,zenyatta_heroDamageDoneAvgPer10Min,zenyatta_objectiveKillsAvgPer10Min,zenyatta_objectiveTimeAvgPer10Min,zenyatta_soloKillsAvgPer10Min,zenyatta_timeSpentOnFireAvgPer10Min,zenyatta_weaponAccuracy,zenyatta_transcendenceHealingBest
227,3331,61221.0,12.74,8.96,1226.0,,5.23,8.58,1.5,10141.0,2199.0,3.31,00:47,0.09,00:45,17%,3.84,3.78,57%,326.0,57%,7229.0,22.12,3.4,2732.0,13.37,6.18,11.09,2.73,12316.0,3393.0,6.02,01:04,0.06,02:34,34%,3.4,76%,4.12,1150.0,10827.0,26.27,3.49,1205.0,,4.85,11.94,3.05,8164.0,3211.0,5.78,01:17,0.05,00:26,,4203.0,1406.0,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18003.0,16.36,14.76,4969.0,10.87,5.13,13.23,4.2,5683.0,5002.0,5.13,00:49,0.47,00:24,22%,2368.0
228,3983,136851.0,12.48,9.55,1596.0,,6.33,8.73,1.63,9676.0,2065.0,3.59,00:54,0.09,01:02,19%,5.78,3.9,64%,388.0,59%,3641.0,13.78,3.75,2523.0,4.59,7.87,5.91,1.87,10891.0,1461.0,3.56,01:13,0.28,00:37,32%,3.75,78%,3.19,991.0,57602.0,22.07,3.86,1277.0,,6.21,10.32,2.26,8890.0,2705.0,4.83,01:34,0.15,00:25,,4464.0,2463.0,29%,18007.0,9.84,11.94,2768.0,7.15,6.13,12.26,2.17,7412.0,2797.0,5.68,01:34,0.19,00:49,30%,11.75,1343.0,7227.0,16.52,12.63,33.9,0.77,5.61,0.83,0.3,7184.0,172.0,0.24,00:49,0.06,00:12,26%,1284.0,5.72,25255,18.97,,1207,,6.26,18.47,3.5,10704,5255,8.21,01:14,0.31,00:36,,1676,4.64,63%,1443,,,,,,,,,,,,,,,,
229,1236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,2097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3653,16.86,,271,,6.43,6.43,2.21,12884,2070,2.53,01:02,0.53,00:15,,1872,3.27,60%,1063,,,,,,,,,,,,,,,,
231,2131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,2655,14444.0,12.61,10.6,1300.0,,6.6,10.6,2.71,8649.0,2881.0,4.23,00:45,0.33,01:00,20%,5.56,4.0,59%,350.0,54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,3300,7233.0,12.42,10.12,1590.0,,5.27,10.28,2.39,8813.0,2575.0,3.37,00:23,0.25,00:47,21%,5.1,4.36,64%,479.0,51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,2270,25225.0,12.28,7.53,1112.0,,5.33,7.53,1.25,8608.0,1677.0,3.63,00:53,0.04,00:45,10%,3.83,2.55,46%,316.0,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,3221,36042.0,13.65,10.78,1647.0,,6.34,10.5,1.78,8514.0,2433.0,4.01,00:35,0.1,00:43,14%,5.44,4.09,50%,361.0,47%,3623.0,18.42,2.68,2525.0,11.78,8.35,11.24,2.36,8980.0,3694.0,4.6,00:46,0.32,00:45,34%,2.68,66%,3.21,998.0,,,,,,,,,,,,,,,,,,,3607.0,13.7,8.48,3780.0,11.5,6.74,18.35,4.06,10017.0,3978.0,10.68,01:33,0.23,01:18,27%,13.24,1844.0,,,,,,,,,,,,,,,,,,3643,22.94,,1965,,5.1,23.62,4.5,12825,6845,9.6,01:10,0.17,01:18,,1948,7.48,38%,1600,,,,,,,,,,,,,,,,
236,2872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,3224,111627.0,12.11,10.4,1677.0,,5.87,12.35,2.6,8061.0,2594.0,4.98,00:45,0.17,01:04,19%,4.49,3.56,55%,349.0,53%,7201.0,16.58,1.83,3924.0,6.43,7.22,10.71,2.86,9800.0,2785.0,4.6,00:43,0.08,01:04,29%,1.83,66%,2.7,978.0,,,,,,,,,,,,,,,,,,,3616.0,9.17,9.17,3145.0,6.85,7.66,11.48,2.32,7829.0,2791.0,4.03,01:10,0.1,01:15,25%,10.17,1381.0,,,,,,,,,,,,,,,,,,28845,22.61,,1687,,5.36,22.48,4.2,12870,5965,10.68,01:19,0.17,01:48,,2030,6.5,53%,1299,,,,,,,,,,,,,,,,
238,2461,3641.0,11.89,9.93,2423.0,,6.87,10.91,2.62,7746.0,3192.0,5.67,01:00,0.33,01:28,20%,4.58,4.25,54%,375.0,48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,3251,,,,,,,,,,,,,,,,,,,,,7233.0,19.51,3.87,2516.0,15.98,4.84,17.16,6.09,10635.0,5180.0,5.88,00:35,0.83,02:08,42%,3.87,74%,2.84,1305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,2496,3627.0,12.39,7.76,1645.0,,6.26,8.99,1.5,9451.0,2829.0,3.27,00:56,0.14,00:54,19%,6.4,2.72,57%,415.0,53%,3645.0,21.98,2.78,3021.0,12.88,6.74,13.73,3.62,11038.0,3801.0,5.89,00:47,0.08,01:24,32%,2.78,72%,3.62,1084.0,,,,,,,,,,,,,,,,,,,3615.0,13.08,14.21,3048.0,16.32,5.98,19.31,4.11,7291.0,4342.0,7.1,01:16,0.62,01:47,24%,13.33,1466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,1533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,2627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3638,22.53,,1019,,5.12,22.93,3.64,12789,4144,12.0,01:41,0.3,01:12,,1853,5.51,38%,1654,,,,,,,,,,,,,,,,
243,1494,10810.0,11.42,10.3,1181.0,,5.3,11.83,2.91,8991.0,3876.0,4.89,00:34,0.87,01:35,42%,8.11,4.79,73%,534.0,68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3648.0,9.49,11.51,1952.0,15.29,5.01,19.68,3.87,7112.0,5106.0,8.96,02:02,1.05,02:08,40%,14.85,1530.0,18056.0,17.46,13.15,47.45,1.16,6.07,1.04,0.35,8227.0,188.0,0.44,00:52,0.06,00:15,33%,1424.0,3.74,14429,9.44,,677,,7.96,14.64,3.34,6518,3244,5.86,01:10,0.49,00:34,,930,3.18,51%,1042,10826.0,24.7,18.79,3347.0,15.43,5.33,26.13,11.79,8379.0,8349.0,12.33,01:21,1.89,04:00,40%,1583.0
244,3041,10852.0,14.47,9.58,1262.0,,7.32,9.04,2.1,9764.0,2244.0,3.17,00:34,0.05,00:42,19%,5.06,3.93,57%,401.0,57%,14458.0,21.61,2.15,1831.0,6.11,5.74,11.14,2.21,12759.0,2526.0,4.3,00:43,0.23,01:18,35%,2.15,77%,2.99,1213.0,,,,,,,,,,,,,,,,,,,3629.0,12.11,10.96,1929.0,10.83,7.52,17.71,3.95,7521.0,4051.0,7.26,01:14,0.13,01:24,30%,11.09,1628.0,,,,,,,,,,,,,,,,,,7213,21.42,,806,,6.15,20.03,3.58,13689,3722,8.73,00:54,0.38,00:26,,2239,5.78,58%,1744,3623.0,23.46,19.11,3875.0,9.5,5.95,17.74,5.72,8674.0,5119.0,6.07,01:00,0.57,00:25,28%,3935.0
245,2500,3633.0,12.04,11.17,884.0,,7.08,11.92,3.35,7093.0,2638.0,3.6,00:44,0.25,00:37,14%,6.33,3.97,42%,338.0,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3601.0,15.05,15.16,3227.0,13.79,4.95,16.63,6.53,5555.0,5852.0,6.1,00:27,1.05,00:37,24%,1532.0
246,3500,10827.0,17.73,12.45,913.0,,4.99,14.0,2.86,10396.0,3031.0,5.28,00:42,0.19,01:48,23%,6.64,5.23,67%,420.0,59%,3643.0,21.16,3.26,2075.0,11.14,4.54,14.05,3.94,12028.0,4083.0,5.14,00:41,0.17,01:44,38%,3.26,76%,3.94,1139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3614.0,23.39,21.09,3955.0,17.51,4.98,22.24,8.31,7381.0,7518.0,6.77,00:42,1.28,01:54,30%,1125.0
247,2709.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,1869,14413.0,13.31,12.26,819.0,,4.29,15.94,5.46,8269.0,3606.0,5.62,00:40,1.01,02:23,34%,9.06,4.25,67%,534.0,59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3637.0,14.7,18.59,3339.0,17.58,5.78,24.99,12.69,5206.0,8144.0,8.42,00:32,3.27,02:32,32%,1151.0
249,2150,7232.0,11.03,8.23,2295.0,,7.69,9.7,1.87,6981.0,3104.0,4.15,00:41,0.2,00:36,18%,4.95,2.88,51%,319.0,44%,10822.0,12.64,1.92,3797.0,22.62,8.26,13.23,4.18,7104.0,5278.0,4.92,00:42,0.49,00:42,28%,1.92,56%,1.43,1042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10811,10.92,,1298,,7.71,23.6,7.25,6649,8319,9.99,00:52,1.5,00:56,,1134,5.38,50%,1438,,,,,,,,,,,,,,,,
250,2798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3658.0,20.01,14.76,,0.13,6.13,0.63,0.25,8785.0,21.47,0.25,00:57,,00:02,21%,1743.0,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,2585,,,,,,,,,,,,,,,,,,,,,10851.0,18.16,2.37,3472.0,16.41,5.5,17.07,5.88,7978.0,5218.0,6.07,00:38,1.09,01:33,36%,2.37,73%,3.04,1036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3631.0,16.24,15.63,4943.0,11.53,7.16,16.07,6.03,5854.0,5628.0,5.94,00:35,0.96,00:23,25%,1177.0
252,2903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,1599,3655.0,12.46,8.56,1015.0,,5.23,6.56,1.56,10794.0,1555.0,3.11,00:49,0.11,01:37,13%,5.0,4.67,65%,372.0,58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,2114,7211.0,9.75,6.06,996.0,,8.26,8.15,1.55,7876.0,2427.0,3.27,00:57,0.12,00:36,21%,5.11,2.02,56%,530.0,54%,28806.0,17.32,2.67,1831.0,12.65,6.7,12.46,3.35,9937.0,3534.0,5.95,01:06,0.11,01:16,38%,2.67,74%,3.07,1061.0,,,,,,,,,,,,,,,,,,,21620.0,11.15,4.86,2454.0,14.02,6.51,16.28,3.27,10714.0,4297.0,7.83,02:01,0.32,01:20,30%,13.38,2069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,2141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46838.0,22.04,5.7,145.0,1.51,4.91,1.01,0.33,11696.0,283.0,0.36,00:41,0.09,00:11,28%,824.0,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,2210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3652.0,22.18,7.43,143.0,1.94,7.22,3.23,0.97,9893.0,415.0,2.15,01:38,,00:05,32%,824.0,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,22.13,,1100,,5.9,17.21,2.79,11994,2930,10.16,01:25,0.16,00:06,,2122,3.44,40%,1491,,,,,,,,,,,,,,,,
259,2275,25210.0,13.07,8.56,1138.0,,6.83,7.44,0.76,9401.0,1760.0,3.12,00:49,0.07,00:33,8%,4.85,3.28,47%,390.0,42%,3648.0,22.77,2.72,491.0,1.61,5.69,3.71,1.24,11519.0,752.0,1.98,00:58,,00:32,20%,2.72,57%,2.85,973.0,,,,,,,,,,,,,,,,,,,7207.0,10.6,5.9,2172.0,11.56,8.37,12.94,2.23,10090.0,3565.0,5.96,01:43,0.12,00:25,15%,11.56,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3608.0,19.38,12.85,3378.0,5.73,6.82,11.37,3.16,7565.0,3484.0,5.24,01:04,0.4,00:08,15%,1953.0
260,2334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3618.0,19.65,18.41,3211.0,15.24,6.42,19.27,6.33,6743.0,6560.0,8.53,00:47,0.96,01:44,32%,1322.0
261,2365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,2537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7249.0,25.95,23.39,40.93,0.8,4.24,1.32,0.44,8766.0,148.0,0.58,00:41,0.07,00:24,36%,2544.0,5.26,3622,12.59,,673,,5.8,15.9,3.98,9206,5080,6.63,01:06,0.5,00:38,,1287,4.97,45%,1439,3638.0,25.8,24.17,1997.0,6.79,4.62,16.03,5.02,8170.0,4433.0,7.33,00:25,0.14,00:42,16%,2221.0
263,1490,3607.0,9.64,8.13,1045.0,,8.24,12.08,2.55,6640.0,3603.0,5.23,01:09,0.23,01:21,33%,5.46,3.25,66%,297.0,56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,2335,21647.0,13.33,9.87,1700.0,,4.18,12.39,2.79,8547.0,3254.0,5.12,00:40,0.4,01:21,22%,5.04,3.78,59%,382.0,49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,2062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7249.0,14.05,9.42,2526.0,6.65,6.5,16.81,2.47,8833.0,3059.0,6.8,01:39,0.22,01:26,19%,15.24,1762.0,18002.0,18.82,12.29,91.46,1.21,5.97,1.35,0.26,9833.0,221.0,0.53,00:53,0.12,00:17,20%,1613.0,6.32,,,,,,,,,,,,,,,,,,,,3620.0,21.0,18.55,4611.0,9.0,5.18,13.09,2.32,6768.0,4501.0,6.0,00:57,0.41,00:22,15%,1667.0
266,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3615.0,11.83,6.07,2593.0,6.85,7.32,10.58,1.25,10778.0,2616.0,6.38,02:10,0.16,00:24,19%,9.65,1660.0,3651.0,20.62,5.3,,0.29,7.16,,,8755.0,31.5,,01:20,,00:48,19%,963.0,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,1853,7219.0,9.7,8.68,1619.0,,7.38,10.39,2.6,7035.0,2799.0,5.33,00:44,0.27,00:41,16%,5.47,3.83,45%,379.0,44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,1498,7202.0,11.3,6.95,1747.0,,8.32,9.01,1.91,6389.0,2339.0,4.81,01:18,0.08,00:21,18%,5.57,1.91,42%,885.0,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3624.0,9.82,6.46,2019.0,8.4,8.01,11.89,2.07,8766.0,3100.0,6.46,01:32,0.13,00:35,25%,9.43,2334.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,2140,79210.0,11.44,8.45,1752.0,,6.98,9.66,1.97,7962.0,2409.0,4.16,00:56,0.14,00:40,15%,4.94,3.03,50%,683.0,44%,3644.0,17.99,3.38,4290.0,6.21,6.98,10.68,1.96,10374.0,3398.0,5.78,00:57,0.11,01:05,23%,3.38,67%,3.05,1410.0,3600.0,25.29,5.15,1308.0,,7.65,14.7,3.38,7714.0,3404.0,5.44,01:13,,00:35,,3418.0,1517.0,31%,50445.0,9.92,4.65,2213.0,11.46,7.63,14.56,2.82,9527.0,3906.0,6.99,01:39,0.26,00:56,27%,12.54,2302.0,,,,,,,,,,,,,,,,,,18003,16.26,,980,,6.56,22.97,5.03,8969,6171,10.67,01:27,0.74,01:06,,1490,5.55,36%,1597,,,,,,,,,,,,,,,,
270,3985,,,,,,,,,,,,,,,,,,,,,3657.0,23.78,3.63,4323.0,17.98,6.82,16.24,4.64,11577.0,5238.0,3.92,00:20,0.15,02:00,32%,3.63,80%,3.34,1284.0,,,,,,,,,,,,,,,,,,,3637.0,10.83,11.23,2464.0,21.15,7.83,14.49,2.48,6531.0,4503.0,5.09,00:44,0.39,01:03,29%,12.4,1518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,2429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,1427,,,,,,,,,,,,,,,,,,,,,3616.0,15.75,2.83,1402.0,5.44,7.82,6.23,1.7,9603.0,1864.0,2.61,01:05,0.11,01:10,29%,2.83,70%,3.06,908.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2428,14441.0,11.33,8.72,1200.0,,7.91,9.81,2.04,8263.0,2108.0,4.75,01:12,0.14,00:54,16%,4.68,2.75,56%,325.0,53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,2525,10849.0,11.89,8.74,1362.0,,5.64,8.79,1.93,9767.0,2138.0,3.05,00:34,0.1,00:32,14%,4.22,2.85,61%,412.0,47%,7230.0,17.47,1.63,2075.0,5.47,5.22,9.71,3.02,10512.0,2107.0,3.59,00:42,0.41,00:28,25%,1.63,66%,3.43,1012.0,,,,,,,,,,,,,,,,,,,7258.0,14.2,9.12,2537.0,12.5,5.24,16.86,2.74,9694.0,3801.0,6.45,01:51,0.24,01:04,26%,15.25,1910.0,7202.0,21.08,7.31,32.56,1.09,5.71,1.54,0.51,11375.0,263.0,0.51,00:46,,00:19,28%,804.0,5.08,3628,18.55,,735,,5.53,17.57,4.23,10767,4194,6.83,00:55,0.65,00:16,,1454,4.07,48%,1639,,,,,,,,,,,,,,,,
275,2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3611.0,22.57,2.35,46.99,0.76,6.04,0.84,0.34,11210.0,225.0,0.5,01:06,0.17,00:09,40%,370.0,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,2366,18013.0,14.12,10.48,1246.0,,6.45,13.27,2.42,8043.0,3109.0,6.36,01:16,0.29,01:32,27%,7.14,3.34,61%,499.0,53%,7221.0,20.02,1.64,2171.0,12.5,6.32,10.93,3.16,9180.0,3195.0,4.55,00:54,0.25,01:21,34%,1.64,67%,3.16,1150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
